url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Machine-Learning-Engineer--AI-Safety_JR2021784-1	2026-07-28	workday-api	Machine Learning Engineer, AI Safety	NVIDIA	added	2 Locations		2026-07-24			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Developer-Technology-Engineer---Agentic-SoC-Performance_JR2021919	2026-07-28	workday-api	Senior Developer Technology Engineer - Agentic SoC Performance	NVIDIA	added	US, CA, Santa Clara		2026-07-24			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-SOCD-Applied-AI-Engineer_JR2020550	2026-07-28	workday-api	Senior SOCD Applied AI Engineer	NVIDIA	added	US, CA, Santa Clara		2026-07-24			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Developer-Technology-Engineer---Edge-Agentic-AI_JR2021914	2026-07-28	workday-api	Senior Developer Technology Engineer - Edge Agentic AI	NVIDIA	added	US, CA, Santa Clara		2026-07-22			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Solutions-Architect--Agentic-AI_JR2021625	2026-07-28	workday-api	Senior Solutions Architect, Agentic AI	NVIDIA	added	2 Locations		2026-07-22			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-WA-Seattle/Senior-Robotics-Research-Scientist_JR2000652	2026-07-28	workday-api	Senior Robotics Research Scientist	NVIDIA	added	US, WA, Seattle		2026-07-20			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Product-Manager--Agentic-Workflows----Autonomous-Vehicles_JR2021669	2026-07-28	workday-api	Principal Product Manager, Agentic Workflows - Autonomous Vehicles	NVIDIA	added	US, CA, Santa Clara		2026-07-20			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Staff-Client-Platform-Engineer_JR2021034	2026-07-28	workday-api	Senior Staff Client Platform Engineer	NVIDIA	added	2 Locations		2026-07-20			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Backend-Platform-Engineer_JR2021162	2026-07-28	workday-api	Senior Backend Platform Engineer	NVIDIA	added	US, CA, Santa Clara		2026-07-17			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/UK-Remote/Solutions-Architect--GenAI_JR2010247	2026-07-28	workday-api	Solutions Architect, GenAI	NVIDIA	added	2 Locations		2026-07-17			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Applied-AI-Engineer_JR2021231-1	2026-07-28	workday-api	Senior Applied AI Engineer	NVIDIA	added	5 Locations		2026-07-17			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Solutions-Architect--Generative-AI-Deployment-and-AIOps_JR2015676	2026-07-28	workday-api	Senior Solutions Architect, Generative AI Deployment and AIOps	NVIDIA	added	6 Locations		2026-07-16			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Manager--Deep-Learning-Algorithms_JR2020646	2026-07-28	workday-api	Engineering Manager, Agentic GenAI Platform	NVIDIA	added	US, CA, Santa Clara		2026-07-16			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Austria-Remote/Senior-Machine-Learning-Engineer---Automotive_JR2021136	2026-07-28	workday-api	Senior Machine Learning Engineer - Automotive	NVIDIA	added	Austria, Remote		2026-07-16			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-AI-Engineer---VLSI-Design_JR2019190	2026-07-28	workday-api	Applied AI Engineer - VLSI Design	NVIDIA	added	US, CA, Santa Clara		2026-07-14			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Solutions-Architect--Agentic-Optimization_JR2018991	2026-07-28	workday-api	Solutions Architect, Agentic Optimization	NVIDIA	added	2 Locations		2026-07-13			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Deep-Learning-Engineer---Perception--Autonomous-Driving_JR2021015	2026-07-28	workday-api	Senior Machine Learning Engineer	NVIDIA	added	US, CA, Santa Clara		2026-07-10			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director--Host-Networking-Segment-Sales-for-Agentic_JR2020928	2026-07-28	workday-api	Director, Host Networking Segment Sales for Agentic	NVIDIA	added	4 Locations		2026-07-10			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Research-Scientist--Human-AI-Perception-and-Interaction_JR2020674	2026-07-28	workday-api	Senior Research Scientist, Human‑AI Perception and Interaction	NVIDIA	added	US, CA, Santa Clara		2026-07-09			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer---TensorRT-Edge-LLM_JR2012868	2026-07-28	workday-api	Senior Software Engineer – TensorRT Edge-LLM	NVIDIA	added	3 Locations		2026-07-08			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Developer-Relations-Manager--Digital-Health-AI-Research_JR2020069	2026-07-28	workday-api	Senior Developer Relations Manager, Digital Health AI Research	NVIDIA	added	US, CA, Santa Clara		2026-07-02			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-Research-Intern--NLP---Fall-2026_JR2010488	2026-07-28	workday-api	Applied Research Intern, NLP - Fall 2026	NVIDIA	added	US, CA, Santa Clara		2026-07-01			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Design-Automation-Engineer--Applied-AI_JR2014684	2026-07-28	workday-api	Senior Design Automation Engineer, Applied AI	NVIDIA	added	2 Locations		2026-06-30			nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-FL-Remote/Senior-Solutions-Architect--Generative-AI-Research_JR2019852	2026-07-28	workday-api	Senior Solutions Architect, Generative AI Research	NVIDIA	added	4 Locations					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Remote/Senior-AI-Engineer--World-Foundation-Models---2_JR2017491	2026-07-28	workday-api	Senior AI Researcher - World Foundation Models	NVIDIA	added	3 Locations					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Engineering-Manager--LLM-Performance_JR2019950	2026-07-28	workday-api	Engineering Manager, LLM Performance	NVIDIA	added	US, CA, Santa Clara					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Product-Manager--GenAI---Autonomous-Vehicles_JR2001991	2026-07-28	workday-api	Technical Lead, GenAI - Autonomous Vehicles	NVIDIA	added	US, CA, Santa Clara					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/ML-and-Agentic-Systems-Engineer_JR2015108	2026-07-28	workday-api	ML and Agentic Systems Engineer	NVIDIA	added	US, CA, Santa Clara					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Research-Scientist--Nemotron-Post-training_JR2018661	2026-07-28	workday-api	Senior Research Scientist, Nemotron Post-training	NVIDIA	added	2 Locations					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Applied-AI-and-AI-Infrastructure-Engineer---Chip-Design-and-DFX_JR2018256	2026-07-28	workday-api	Senior Applied AI and AI Infrastructure Engineer - Chip Design and DFX	NVIDIA	added	US, CA, Santa Clara					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Scientist--Efficient-Deep-Learning---New-College-Grad-2026_JR2019729-1	2026-07-28	workday-api	Research Scientist, Efficient Deep Learning - New College Grad 2026	NVIDIA	added	US, CA, Santa Clara					nvidia
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-WA-Redmond/Senior-Research-Scientist--Rendering_JR2019582	2026-07-28	workday-api	Senior Research Scientist, Rendering	NVIDIA	added	US, WA, Redmond					nvidia
